township,basin,river,twd97lon,twd97lat,twd97tm2x,twd97tm2y,siteaddress,statusofuse,siteid,sitename,siteengname,county
三星鄉,蘭陽溪流域,羅東溪,121.7530833,24.7028333,326199.48,2733072.79,宜蘭縣三星鄉196縣道上(復興路三段與羅三公路交接處,啟用,1724,歪仔歪橋,"Waizihwai Bridge",宜蘭縣
牡丹鄉,牡丹溪流域,牡丹溪,120.8075833,22.1448611,230152.84,2449608.71,佳德橋,停用,1723,佳德橋,"Jade Bridge",屏東縣
牡丹鄉,四重溪流域,四重溪,120.7797222,22.1537222,227280.47,2450593.73,佳洛峝橋,停用,1722,佳洛峝橋,"Jialuoqiao Bridge",屏東縣
大樹區,高屏溪流域,高屏溪,120.4358333,22.6876111,192033.09,2509802.14,高屏溪攔河堰,停用,1721,高屏溪攔河堰,"Gaoping River Dike",高雄市
小港區,東港溪流域,東港溪,120.4617222,22.5046944,194620.06,2489537.76,屏東縣新園鄉港西村台27線76公里處,停用,1720,港西抽水站(入庫溪流),"Gangci Pomping Station",高雄市
鳥松區,高屏溪流域,高屏溪,120.4316944,22.6516667,191592.60,2505823.56,九曲堂抽水站,停用,1719,九曲堂抽水站,"Jioucyutang drainage pump station",高雄市
內門區,高屏溪流域,旗山溪,120.4722778,22.9174444,195868.61,2535238.62,圓潭子隧道出口,停用,1718,圓潭子隧道出口,"Yuantanzi tunnel",高雄市
燕巢區,阿公店溪流域,阿公店溪,120.3615833,22.8032222,184459.01,2522635.13,高雄市燕巢區西燕村紅山巷(高29-1線0.6公里處),停用,1717,蓬萊橋(入庫溪流),"Agongdian River",高雄市
燕巢區,阿公店溪流域,阿公店溪,120.3580278,22.8312222,184107.46,2525737.30,新尖大橋,停用,1716,新尖大橋,"Shinjian Bridge",高雄市
官田區,曾文溪流域,曾文溪,120.5024167,23.2290556,199077.63,2569734.70,曾文三橋,停用,1715,曾文三橋,"Zengwun Bridge No. 3",臺南市
南化區,曾文溪流域,菜寮溪,120.4957222,23.0589444,198327.34,2550899.30,鏡面二號橋,停用,1714,鏡面二號橋,"Jingmian Bridge No. 2",臺南市
南化區,曾文溪流域,後堀溪,120.5973056,23.1733889,208771.56,2563540.21,瑞峰國小(旁無名橋),停用,1713,瑞峰國小(旁無名橋),"Rueifong Elementary School",臺南市
白河區,急水溪流域,白水溪,120.4802222,23.3461389,196852.72,2582708.48,白水溪橋,停用,1712,白水溪橋,"Baishui River Bridge",臺南市
大埔鄉,曾文溪流域,曾文溪,120.6134361,23.3296306,210469.12,2580837.66,沙崙橋,停用,1711,沙崙橋,"Shalun Bridge",嘉義縣
東區,八掌溪流域,八掌溪,120.5303889,23.4531389,202020.92,2594540.22,吳鳳橋,停用,1710,吳鳳橋,"Wufeng Bridge",嘉義市
竹山鎮,濁水溪流域,清水溪(投),120.6566667,23.6269167,214968.61,2613748.28,南投縣竹山鎮149乙線5公里處,停用,1709,瑞草橋(入庫溪流),"Rueitsau Bridge",南投縣
仁愛鄉,濁水溪流域,濁水溪,121.0958222,23.9698306,259751.38,2651685.27,松林橋,停用,1708,松林橋,"Sunglin Bridge",南投縣
仁愛鄉,濁水溪流域,濁水溪,121.1635361,24.0251750,266635.20,2657820.85,德魯灣橋,停用,1707,德魯灣橋,"Deluwan Bridge",南投縣
和平區,大甲溪流域,大甲溪,121.3081389,24.3477778,281265.82,2693574.06,台中市和平區平等里武陵路武陵賓館前,停用,1706,迎賓橋(入庫溪流),"Inbin Bridge",臺中市
泰安鄉,大安溪流域,大安溪,120.9467778,24.3574722,244600.15,2694614.11,苗栗縣泰安鄉中象聯絡道路附近,停用,1705,象鼻大橋(入庫溪流),"Siangbee Bridge",苗栗縣
頭屋鄉,後龍溪流域,後龍溪,120.9189444,24.5886111,241791.21,2720215.06,明德四號橋,停用,1704,明德四號橋,"Mingde Bridge No. 4",苗栗縣
三灣鄉,中港溪流域,中港溪,121.0051389,24.6206389,250520.30,2723759.92,中港溪永興吊橋,停用,1703,永興吊橋,"Yongxing Bridge",苗栗縣
橫山鄉,頭前溪流域,頭前溪,121.1187500,24.6683611,262018.60,2729050.65,新竹縣橫山鄉上坪竹35號道,停用,1702,瑞昌大橋(入庫溪流),"Wanfonda Bridge",新竹縣
桃園區,淡水河流域,大漢溪,121.3666194,24.8012611,287066.03,2743814.92,大漢溪復興橋,停用,1701,復興橋,"Fuxing Bridge",桃園市
安樂區,淡水河流域,基隆河,121.7301111,25.1112778,323632.18,2778302.09,八堵抽水站,停用,1700,八堵抽水站,"Badu drainage pump station",基隆市
萬巒鄉,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,屏東縣萬巒鄉屏98縣道利屋路附近,啟用,1686,成德大橋,"Chengde Bridge",屏東縣
安南區,鹽水溪流域,鹽水溪,120.2395000,23.0513889,172067.35,2550176.11,臺南市安南區永安路與長和路一段交界處,啟用,1685,永安橋,"Yungan Bridge",臺南市
東石鄉,朴子溪流域,朴子溪,120.1688611,23.4436944,165077.03,2593661.16,嘉義縣東石鄉台17縣西部濱海公路,啟用,1684,東石南橋,"Dungshrnan Bridge",嘉義縣
麥寮鄉,新虎尾溪流域,新虎尾溪,120.2238611,23.7619167,170888.15,2628872.40,雲林縣麥寮鄉雲3縣道附近,啟用,1683,蚊港橋,"Wengang Bridge",雲林縣
泰安鄉,大安溪流域,大安溪,120.9467778,24.3574722,244600.15,2694614.11,苗栗縣泰安鄉中象聯絡道路附近,啟用,1682,象鼻大橋,"Siangbee Bridge",苗栗縣
後龍鎮,後龍溪流域,後龍溪,120.7630389,24.6139583,226006.91,2723040.66,苗栗縣後龍鎮台31西濱快速道路,啟用,1681,後龍觀海大橋,"Guanhai Bridge",苗栗縣
竹南鎮,中港溪流域,中港溪,120.8422806,24.6642083,234036.80,2728594.67,苗栗縣竹南鎮苗6-1線附近,啟用,1680,五福大橋,"Wufu Bridge",苗栗縣
頭城鎮,得子口溪流域,得子口溪,121.8233611,24.8413333,333218.34,2748454.75,宜蘭縣頭城鎮台2線北部濱海公路,啟用,1679,竹安橋,"Juan Bridge",宜蘭縣
冬山鄉,冬山河流域,冬山河,121.7730000,24.6318889,328259.04,2725225.95,宜蘭縣冬山鄉太和路（宜36鄉道）附近,啟用,1678,十三份橋,"Shrsanfen Bridge",宜蘭縣
寶山鄉,客雅溪流域,客雅溪,120.9885278,24.7680833,248839.83,2740090.50,新竹縣寶山鄉環北路與雙豐路附近,啟用,1677,中正橋,"Zhongzheng Bridge",新竹縣
湖口鄉,新豐溪流域,茄苳溪(竹),120.9956111,24.8677500,249556.51,2751129.45,新竹縣湖口鄉三民一路與榮光路口,啟用,1676,無名橋,"Wuming Bridge",新竹縣
八德區,南崁溪流域,茄苳溪(桃),121.2768611,24.9418333,277959.57,2759363.43,桃園市八德區桃46鄉道新興路,啟用,1675,桃46新興路橋,"Shinshing Road Bridge",桃園市
桃園區,南崁溪流域,南崁溪,121.3141111,25.0070278,281704.67,2766592.71,桃園市桃園區民光東路附近,啟用,1674,天助橋,"Tianju Bridge",桃園市
竹山鎮,濁水溪流域,清水溪(投),120.6586250,23.6458333,215173.43,2615842.69,南投縣竹山鎮桶頭攔河堰,啟用,1673,桶頭攔河堰,"Tungyou River Dike",南投縣
竹山鎮,濁水溪流域,清水溪(投),120.6561528,23.6266897,214916.12,2613723.27,南投縣竹山鎮149乙線5公里處,啟用,1672,瑞草橋,"Rueitsau Bridge",南投縣
鹿谷鄉,濁水溪流域,濁水溪,120.7828611,23.8150786,227876.45,2634560.78,南投縣鹿谷鄉民水路二段台16接139縣道,啟用,1671,集鹿大橋,"Ji Lu Bridge",南投縣
新豐鄉,新豐溪流域,新豐溪,120.9955647,24.9066667,249551.96,2755439.87,新竹縣新豐鄉竹2線,啟用,1670,中山橋(新豐溪),"Zhong Shan Bridge (Sinfo",新竹縣
新豐鄉,新豐溪流域,新豐溪,121.0103100,24.9091389,251041.46,2755713.72,新竹縣新豐鄉竹2線與竹2-1線交會口,啟用,1669,東興橋,"Dong Xing Bridge",新竹縣
新豐鄉,新豐溪流域,新豐溪,120.9772222,24.9078101,247699.11,2755566.72,新竹縣新豐鄉省道台15線,停用,1668,池和橋,,新竹縣
大甲區,磺溪流域,磺溪,120.6105972,24.4014167,210505.20,2699535.51,台中市61線西濱公路,停用,1667,11,,臺中市
鹽埕區,愛河流域,愛河,120.2917531,22.6168240,177191.36,2502027.01,高雄市三民區灣興街99巷底,停用,1666,寶珠溝抽水站進流口,,高雄市
鹽埕區,愛河流域,愛河,120.2898650,22.6223300,177000.16,2502637.63,高雄市三民區明誠二路上,停用,1665,明誠橋,,高雄市
鹽埕區,愛河流域,愛河,120.2903800,22.6190420,177051.37,2502273.28,高雄市仁武區後港巷(高榮後面),停用,1664,後港橋,,高雄市
岡山區,阿公店溪流域,阿公店溪,120.3282222,22.8036944,181034.229672077,2522702.60088549,高雄市岡山區大莊路接阿公店溪道路,啟用,1663,小崗山橋(原為高速鐵路橋下游便橋),"High Speed Rail Bridge",高雄市
南庄鄉,中港溪流域,中港溪,121.0058100,24.6175280,250588.26,2723415.37,苗栗縣南庄鄉田美村124線25.2km處,啟用,1662,永興橋,"Yongsing Bridge",苗栗縣
溪口鄉,北港溪流域,三疊溪,120.3985111,23.6084750,188619.07,2611792.99,嘉義縣溪口鄉157道和平路,啟用,1661,和平橋,"Heping Bridge",嘉義縣
仁德區,二仁溪流域,二仁溪,120.2222720,22.9222040,170226.00,2535879.49,台南市仁德區保安里中正路(南147線),停用,1660,保安抽水站,"Baoan Pumping station ",臺南市
阿蓮區,二仁溪流域,二仁溪,120.3101944,22.9006944,179233.63,2533452.57,台南市歸仁區長榮路三段230巷,啟用,1659,石安橋,"Shihan Bridge",高雄市
彰化市,烏溪流域,烏溪,120.5753200,24.1043861,206827.04,2666649.01,彰化市國聖里國聖路307號,啟用,1658,福馬圳,Fumazun,彰化縣
竹崎鄉,朴子溪流域,朴子溪,120.4895369,23.5069089,197868.23,2600509.07,嘉義縣竹崎鄉義和村國道3號下,啟用,1657,二高便道橋,"Second Super highway Sidewalk bridge ",嘉義縣
大寮區,高屏溪流域,高屏溪,120.4397850,22.5933589,192399.85,2499363.90,高雄市大寮區台88線公路(11公里處),啟用,1656,萬大大橋,"Wandada Bridge",高雄市
大里區,烏溪流域,旱溪,120.6795569,24.1174810,217427.16,2668071.13,台中市大里區國光路二段710號附近,啟用,1655,國光橋,"Guogwon Bridge",臺中市
瑪家鄉,高屏溪流域,高屏溪,120.6581361,22.7060211,214879.17,2511771.02,屏東縣瑪家鄉瑪家村原住民文化園區,停用,1654,隘寮堰,"AiLio Weir",屏東縣
阿蓮區,二仁溪流域,二仁溪,120.3314200,22.8893060,181405.49,2532181.43,高雄市阿蓮區成功路,停用,1653,阿蓮水利水文站,"Alian streamflow gauging station",高雄市
阿蓮區,二仁溪流域,二仁溪,120.2983100,22.9011940,178014.65,2533513.67,高雄市阿蓮區中路里,停用,1652,中路橋,"Jhonglu Bridge",高雄市
田寮區,二仁溪流域,二仁溪,120.3546900,22.8900280,183793.36,2532250.73,高雄市田寮區西德里與台南市關廟區龜動嵾交界高159線上,停用,1651,西龜橋,"Siguei Bridge",高雄市
田寮區,二仁溪流域,二仁溪,120.3646400,22.8656670,184802.59,2529548.65,高雄市田寮區高40線,停用,1650,崗安橋,"Gangan Bridge",高雄市
田寮區,二仁溪流域,二仁溪,120.3761700,22.8652500,185985.58,2529497.42,高雄市田寮區高39線,停用,1649,中坑橋,"Jhongkeng Bridge",高雄市
新化區,鹽水溪流域,鹽水溪,120.2889400,23.0548890,177135.83,2550538.25,台南市新化區永新路,停用,1648,下甲橋,"Siiajiia Bridge",臺南市
七股區,曾文溪流域,曾文溪,120.0626300,23.0444881,153936.59,2549517.06,台南市七股區與台南市安南區交界處,啟用,1647,曾文溪河口,"Zengwun River Mouth",臺南市
大內區,曾文溪流域,曾文溪,120.3453861,23.1203039,182952.64,2557755.23,台南市大內區與山上區交界處(178線),啟用,1646,大內橋（取代北勢洲橋）,"Peishihchou Bridge",臺南市
佳里區,將軍溪流域,將軍溪,120.1719400,23.1936670,165233.22,2565969.98,台南市佳里區佳里興南24線,停用,1645,東勢橋,"Dongshih Bridge",臺南市
麻豆區,將軍溪流域,將軍溪,120.2286100,23.1911110,171033.16,2565655.02,台南市麻豆區171線15公里處,停用,1644,埤頭橋,"Bitou Bridge",臺南市
下營區,將軍溪流域,將軍溪,120.2668300,23.2204440,174962.26,2568883.19,台南市下營區台19甲線11.2公里處,停用,1643,玄武橋,"Siyuanwu Bridge",臺南市
下營區,將軍溪流域,將軍溪,120.2836300,23.2298890,176686.91,2569920.57,台南市下營區茅港尾49號,停用,1642,橋頭港橋,"Ciiaotougang Bridge",臺南市
後壁區,急水溪流域,急水溪,120.3519980,23.3249600,183730.95,2580416.04,台南市後壁區福安里南76號公路,停用,1641,南76號公路橋,"S. 76th Road",臺南市
彰化市,烏溪流域,烏溪,120.5224400,24.1558610,201470.61,2672367.24,彰化縣彰化市國道3號203.5km,停用,1640,中二高,"Second Super highway",彰化縣
仁愛鄉,烏溪流域,烏溪,120.9542911,24.0630831,245351.77,2662010.18,南投縣仁愛鄉互助村投82號公路,啟用,1639,清流橋,"Cingliu Bridge",南投縣
埔里鎮,烏溪流域,烏溪,120.9588161,23.9541600,245808.40,2649947.10,南投縣埔里鎮南環路與新生路交叉口,停用,1638,新生橋,"Sinshen Bridge",南投縣
和平區,大甲溪流域,大甲溪,121.3081519,24.3477731,281267.14,2693573.54,台中市和平區平等里武陵路武陵賓館前,啟用,1637,迎賓橋,"Inbin Bridge",臺中市
後龍鎮,中港溪流域,中港溪,120.8336900,24.6681390,233167.85,2729031.07,苗栗縣後龍鎮台61號公路94.8公里處,停用,1636,玄寶大橋,"Siyuanbao Bridge",苗栗縣
蘇澳鎮,新城溪流域,新城溪,121.8108600,24.6035000,332110.72,2722103.58,宜蘭縣蘇澳鎮武荖坑遊樂區內,啟用,1635,武荖坑,Woolaokan,宜蘭縣
壽豐鄉,花蓮溪流域,花蓮溪,121.5187422,23.8785917,302827.55,2641674.42,花蓮縣壽豐鄉9號公路旁,啟用,1634,下荖溪橋,"Sialousi Bridge",花蓮縣
新埔鎮,鳳山溪流域,霄裡溪,121.0975461,24.8325569,259859.61,2747235.00,新竹縣新埔鎮五埔里竹19號道路,啟用,1633,三聖橋,"Sansheng Bridge",新竹縣
燕巢區,阿公店溪流域,阿公店溪,120.3453289,22.8115061,182794.32,2523559.75,高雄市燕巢區西燕里工程路100號,停用,1632,阿公店出水口,"Agongdian Reservoir Intake",高雄市
湖內區,二仁溪流域,二仁溪,120.2103610,22.9071940,168995.28,2534223.80,高雄市湖內區湖中路,停用,1514,通地溝,Tondigo,高雄市
美濃區,高屏溪流域,美濃溪,120.5357778,22.8985556,202375.668791729,2533125.03132325,高雄市美濃區永安路369巷,啟用,1512,西門大橋,"Simenda Bridge",高雄市
甲仙區,高屏溪流域,旗山溪,120.5845556,23.0831111,207437.7,2553546.81,高雄市甲仙區甲仙大橋上游150公尺處(攔砂壩),啟用,1511,甲仙取水口(取代四德大橋),"Jiasian Intake",高雄市
六龜區,高屏溪流域,高屏溪,120.6041811,22.8786961,209387.31,2530905.43,高雄市六龜區新寮里台27甲,停用,1510,新寮橋(原為新寮吊橋),"Sinliao Suspension Bridge",高雄市
六龜區,高屏溪流域,荖濃溪,120.6691600,23.0485589,216096.85,2549698.53,高雄市六龜區新發里台27線3.5公里處,啟用,1509,新發大橋,"Sinfada Bridge",高雄市
汐止區,淡水河流域,基隆河,,,,,新北市瑞芳區四腳亭,停用,1391,慶安橋,"Cingan Bridge",新北市
汐止區,淡水河流域,基隆河,,,,,新北市瑞芳區三爪子坑路,停用,1390,瑞峰橋,"Rueifong Bridge",新北市
汐止區,淡水河流域,基隆河,,,,,新北市汐止區樟樹路,停用,1385,樟江大橋,"Jhangjiiang Bridge",新北市
汐止區,淡水河流域,基隆河,,,,,新北市汐止區中興路,停用,1384,社后橋,"Shehou Bridge",新北市
斗六市,北港溪流域,北港溪(雲),120.5868056,23.7028611,207864.731855009,2622177.55232958,雲林縣斗六市梅林里梅林路75-1號,啟用,1361,新梅林橋(取代梅南橋),"Meinan Bridge",雲林縣
崁頂鄉,東港溪流域,東港溪,,,,,屏東縣崁頂鄉港東村李隆宮前,停用,1360,港東二號橋,"Gangdong Bridge No.2",屏東縣
潮州鎮,東港溪流域,東港溪,,,,,屏東縣潮州鎮189號道路,停用,1359,五魁橋,"Wukuei Bridge",屏東縣
萬巒鄉,東港溪流域,東港溪,,,,,屏東縣萬巒鄉187號道路,停用,1358,萬巒大橋,"Wanluan Bridge",屏東縣
萬巒鄉,東港溪流域,東港溪,,,,,屏東縣屏98號道路,停用,1357,成德大橋,"Chengde Bridge",屏東縣
暖暖區,淡水河流域,基隆河,,,,,基隆市六堵區工建西路六堵取水口,停用,1356,六堵站,Lioudu,基隆市
中山區,淡水河流域,基隆河,,,,,台北市中山區河濱公園大佳段,停用,1355,大佳段,Dajiia,臺北市
內湖區,淡水河流域,基隆河,,,,,,停用,1354,成功橋,"Chenggong Bridge",臺北市
士林區,淡水河流域,基隆河,,,,,,停用,1353,承德橋,"Chengde Bridge",臺北市
,淡水河流域,景美溪,,,,,,停用,1352,景美便橋,"Jingmei Suspension bridge ",
,淡水河流域,北勢溪(北),,,,,,停用,1351,伸仗板,Shenjhangban,
,淡水河流域,北勢溪(北),,,,,,停用,1350,碧湖,"Bi Lake",
,淡水河流域,北勢溪(北),,,,,,停用,1349,黃櫸皮寮,Huangjyupiliao,
,淡水河流域,新店溪,,,,,,停用,1348,平廣,Pingguang,
新店區,淡水河流域,新店溪,121.5331350,24.9254100,303847.59,2757621.46,新北市新店區直潭路127號,啟用,1347,直潭堰取水口,"Chintan Weir Intake",新北市
大同鄉,蘭陽溪流域,蘭陽溪,121.5672510,24.6422680,307423.60,2726273.99,宜蘭縣大同鄉7號公路,啟用,1346,牛鬥橋,"Neodao Bridge",宜蘭縣
龜山區,南崁溪流域,南崁溪,121.3692480,25.0250861,287264.49,2768606.95,桃園市龜山區桃七號公路,啟用,1345,大埔橋,"Dapoo Bridge",桃園市
卓蘭鎮,大安溪流域,老庄溪,120.8304950,24.3124669,232796.17,2689639.13,苗栗縣卓蘭鎮中正路,啟用,1344,文峰橋,"Wenfon Bridge",苗栗縣
卓蘭鎮,大安溪流域,老庄溪,120.8359370,24.3081519,233347.94,2689160.57,苗栗縣卓蘭鎮苗55號公路(卓坪街),啟用,1343,協成橋,"Ciechen Bridge",苗栗縣
大內區,曾文溪流域,曾文溪,120.4304539,23.1375819,191673.20,2559632.02,台南市大內區走馬瀨農場入口處,啟用,1342,走馬瀨橋,"Dzomalia Bridge",臺南市
內門區,二仁溪流域,二仁溪,120.4604619,22.9167280,194656.27,2535163.69,高雄市內門區中正路(台3線公路),啟用,1341,二層橋,"Erntsun Bridge",高雄市
仁德區,二仁溪流域,三爺溪,120.1943569,22.9251919,167364.33,2536225.76,台南市仁德區同興路(南147線),啟用,1340,永寧橋,"Yunnin Bridge",臺南市
高樹鄉,高屏溪流域,高屏溪,120.5861981,22.7667070,207507.41,2518509.67,屏東縣高樹鄉台27線公路(41.5公里處),停用,1339,南華大橋,"Nanhuada Bridge",屏東縣
六龜區,高屏溪流域,濁口溪,120.6481231,22.8800761,213896.35,2531046.80,高雄市六龜區台27線公路(25公里處),啟用,1338,大津橋,"Dagean Bridge",高雄市
六龜區,高屏溪流域,荖濃溪,120.6388333,22.9956667,212974.623552109,2543848.87488105,高雄市六龜區太平路台27甲58公里處,啟用,1337,六龜大橋,"Liougueida Bridge",高雄市
旗山區,高屏溪流域,美濃溪,120.4966081,22.8684500,198345.81,2529804.51,高雄市旗山區旗屏路台3線418公里處,啟用,1336,旗南橋,"Cinan Bridge",高雄市
旗山區,高屏溪流域,旗山溪,120.4878950,22.8740081,197453.86,2530423.06,高雄市旗山區旗屏路台3線417公里處,啟用,1335,新旗尾橋,"Sinciwei Bridge",高雄市
九如鄉,高屏溪流域,武洛溪,120.4887561,22.7247531,197485.07,2513895.27,屏東縣九如鄉台3線公路(436.5公里處),啟用,1334,九如橋,"Jiouru Bridge",屏東縣
屏東市,高屏溪流域,牛稠溪(屏),120.4580289,22.6302781,194290.56,2503445.07,屏東縣屏東市大溪路189線公路(2.3公里處),啟用,1333,昌農橋,"Beinoon Brideg",屏東縣
礁溪鄉,得子口溪流域,得子口溪,121.7470589,24.8314511,325512.06,2747315.74,宜蘭縣礁溪鄉五峰路,啟用,1332,美慶山莊,"Meichien Cottage",宜蘭縣
,淡水河流域,內雙溪,,,,,台北市士林區至善路明德樂園旁,停用,1331,青礐溪取水口,"Cingciyue River Intake ",
,淡水河流域,景美溪,,,,,台北市文山區恆光街,停用,1330,恆光橋,"Hengguang Bridge",
,淡水河流域,內雙溪,,,,,台北市士林區至善路三段雙溪水廠,停用,1329,雙溪取水口,"Shuangxi Intake ",
,,,121.5532490,24.9796100,305854.74,2763633.03,新北市新店區寶橋下面,停用,1328,寶橋自動測站,,
蘇澳鎮,南澳溪流域,南澳溪,121.7885989,24.4602919,329947.03,2706228.49,宜蘭縣蘇澳鎮9號公路(南澳市區),啟用,1327,南澳橋,"Nanao Bridge",宜蘭縣
,淡水河流域,基隆河,,,,,,停用,1326,成功橋,"Chenggong Bridge",
,淡水河流域,基隆河,,,,,,停用,1325,平溪(十分寮),Pingsi,
,淡水河流域,基隆河,,,,,,停用,1324,內湖橋,"Neihu Bridge",
,淡水河流域,基隆河,,,,,,停用,1323,長壽橋,"Changshou Bridge",
,淡水河流域,基隆河,,,,,,停用,1322,南港取水口,"Nangang Intake ",
南港區,淡水河流域,基隆河,,,,,台北市南港區研究院路南深橋,停用,1321,四分溪,"Sihfen River",臺北市
,淡水河流域,基隆河,,,,,台北市南港區研究院路一段,停用,1320,弘道橋,"Hongdao Bridge",
大同區,淡水河流域,淡水河本流,,,,,台北市大同區民權西路環河北路口,停用,1319,台北橋,"Taipei Bridge",臺北市
,淡水河流域,淡水河本流,,,,,台北市萬華區成都路,停用,1318,中興橋,"Jhongsing Bridge",
,淡水河流域,大漢溪,,,,,,停用,1317,柑園橋,"Ganyuan Bridge",
,淡水河流域,景美溪,,,,,,停用,1316,象頭埔,Siiangtoupu,
,淡水河流域,南勢溪(北),,,,,,停用,1315,烏來國中,"Wulai Junior High School",
,淡水河流域,南勢溪(北),,,,,,停用,1314,福山,Fushan,
,淡水河流域,北勢溪(北),,,,,,停用,1313,闊瀨,Kuolai,
,淡水河流域,北勢溪(北),,,,,,停用,1312,大林橋,"Dalin Bridge",
,淡水河流域,新店溪,,,,,,停用,1311,萬盛橋,"Wancheng Bridge",
,淡水河流域,新店溪,,,,,新北市板橋區中山路,停用,1310,光復橋,"Guangfu Bridge",
永和區,淡水河流域,新店溪,,,,,新北市永和區福和路,停用,1309,福和橋,"Fuhe Bridge",新北市
,高屏溪流域,高屏溪,,,,,高雄市大樹區上寮里,停用,1308,翁公園,Wonggongyuan,
,愛河流域,愛河,,,,,高雄市三民區建興路,停用,1307,寶珠溝匯流口,Baojhugou,
,愛河流域,愛河,,,,,高雄市左營區新莊子路,停用,1306,鼎新橋,"Dingsin Bridge",
阿蓮區,二仁溪流域,二仁溪,120.3381944,22.8893889,182100.58,2532187.45,高雄市阿蓮區民族路台19甲線公路(55公里處),啟用,1305,南雄橋,"Nansyong Bridge",高雄市
永康區,二仁溪流域,三爺溪,120.2506000,22.9987211,173175.04,2544337.82,台南市永康區復興路接崑大路(180線),啟用,1304,網寮橋(原為建國村),"Chenguo Village",臺南市
學甲區,急水溪流域,急水溪,120.1904269,23.2660400,167170.44,2573974.17,台南市學甲區二港村南7鄉道,啟用,1303,二港橋,"Erngon Bridge",臺南市
下營區,急水溪流域,急水溪,120.2728478,23.2611608,175600.76,2573389.16,台南市下營區鐵線里台19甲線公路(6.5公里處),啟用,1302,台19甲線急水溪橋,"Teisian Vi.",臺南市
竹崎鄉,朴子溪流域,朴子溪,120.5462889,23.5249581,203670.51,2602488.43,嘉義縣竹崎鄉台3線公路(286公里處),啟用,1301,竹崎大橋,"Jhucida Bridge",嘉義縣
斗六市,北港溪流域,北港溪(雲),120.5673270,23.7027490,205878.35,2622171.03,雲林縣斗六市榮譽路800號旁,停用,1300,斗山橋,"Dosang Bridge",雲林縣
大里區,烏溪流域,旱溪,120.6656631,24.1100450,216012.89,2667250.89,台中市大里區樹王路272號僑泰工商附近,啟用,1299,樹王橋,"Shuwan Bridge",臺中市
北屯區,烏溪流域,旱溪,120.7053550,24.1696469,220061.69,2673842.76,台中市大坑東山路一段143-8號,啟用,1298,倡和橋,"Chenho Bridge",臺中市
銅鑼鄉,西湖溪流域,西湖溪,120.7778481,24.4495100,227477.07,2704824.61,苗栗縣銅鑼鄉樟樹村台13號公路43km處,啟用,1297,竹盛橋（原為竹盛大橋）,"Jhushenda Bridge",苗栗縣
平鎮區,老街溪流域,大坑缺溪,121.1961611,24.9209931,269813.17,2757040.95,桃園市平鎮區平鎮村113號公路與桃72線(南平路)交會口附近,啟用,1296,平鎮第一號橋,"Pingjhen 1st Bridge",桃園市
,金面溪流域,金面溪,,,,,宜蘭縣頭城鎮二號公路,停用,1295,福成橋,"Fucheng Bridge",
,金面溪流域,金面溪,,,,,宜蘭縣頭城鎮金面里,停用,1294,石燭橋,"Shihjhu Bridge",
頭城鎮,福德溪流域,福德溪,121.8224200,24.8503980,333117.17,2749458.26,宜蘭縣頭城鎮190號公路,停用,1293,福德坑橋,"Fudakan Bridge",宜蘭縣
頭城鎮,福德溪流域,福德溪,121.8083870,24.8638840,331690.02,2750943.58,宜蘭縣頭城鎮福成里金盈路福成路交會口附近,停用,1292,吉祥橋,"Geeshang Bridge",宜蘭縣
,淡水河流域,北勢溪(北),,,,,新北市石碇區翡翠谷,停用,1291,翡翠水庫橋,"Fei-Tsui Reservoir Bridge",
,淡水河流域,北勢溪(北),,,,,新北市坪林區九號公路,停用,1290,坪林橋,"Pinglin Bridge",
,淡水河流域,三峽河,,,,,新北市三峽區大埔里,停用,1289,大埔,Dapu,
瑞芳區,淡水河流域,基隆河,,,,,新北市瑞芳區明燈路,停用,1287,瑞芳橋,"Rueifang Bridge",新北市
,淡水河流域,景美溪,,,,,新北市新店區中興路景美國小旁,停用,1286,景美橋,"Jingmei Bridge",
,淡水河流域,景美溪,,,,,新北市石碇區石碇,停用,1285,石碇石崁,"Shihkan Shihding",
楠梓區,後勁溪流域,後勁溪,,,,,高雄市楠梓區德中路,停用,1284,興中橋,"Singjhong Bridge",高雄市
楠梓區,後勁溪流域,後勁溪,,,176165.91,2513521,高雄市楠梓區加昌路,停用,1283,後勁橋,"Houjing Bridge",高雄市
前鎮區,前鎮河流域,前鎮河,120.3071400,22.5868330,178757.79,2498698.59,高雄市前鎮區新生路,停用,1282,前鎮橋,"Cianjhen Bridge",高雄市
前鎮區,前鎮河流域,前鎮河,120.7120600,22.0577500,220281.64,2439979.22,高雄市前鎮區中山四路,停用,1281,臨海橋,"Linhia Bridge",高雄市
士林區,淡水河流域,基隆河,121.5251139,25.0738869,302973.73,2774064.33,台北市士林區中山北路圓山旁,啟用,1280,中山橋,"Jhongsan Bridge",臺北市
,淡水河流域,景美溪,,,,,台北市文山區木柵路木柵焚化廠旁,停用,1279,萬福橋(福德坑),"Wanfu Bridge",
,北港溪流域,北港溪(雲),,,,,,停用,1278,,,
,淡水河流域,新店溪,,,,,新北市新店區龜山里111號公路,停用,1277,下龜山橋,"Siiagueishan Bridge",
石碇區,淡水河流域,景美溪,121.6419800,25.0107769,314796.68,2767124.72,新北市石碇區八分寮106號公路,啟用,1274,楓林橋,"Fonlin Bridge",新北市
