township,basin,river,twd97lon,twd97lat,twd97tm2x,twd97tm2y,siteaddress,statusofuse,siteid,sitename,siteengname,county
燕巢區,阿公店溪流域,阿公店溪,120.3430440,22.8145610,182561.26,2523899.10,高雄市燕巢區西燕村工程路(高29線2.5公里處),停用,1196,阿公店水庫,"Agongdian Reservoir",高雄市
仁德區,二仁溪流域,三爺溪,120.2216131,22.9275261,170161.52,2536469.19,台南市仁德區二仁路一段台1線338.8公里處,啟用,1195,五空橋,"Wukon Bridge",臺南市
仁德區,二仁溪流域,二仁溪,120.2504790,22.9911300,173158.35,2543497.26,台南市仁德區太子路,停用,1194,鯽潭橋,"Geetan Bridge",臺南市
南區,二仁溪流域,二仁溪,120.1845860,22.9187260,166358.11,2535515.25,台南市南區灣裡路接白砂路(台17甲號公路17.5公里處),啟用,1193,南萣橋,"Nandin Bridge",臺南市
仁德區,二仁溪流域,二仁溪,120.2260833,22.9155000,170613.04,2535135.01,台南市仁德區二仁路一段台1線公路(340公里處),啟用,1192,二層行橋,"Erntsuncin Bridge",臺南市
田寮區,二仁溪流域,二仁溪,120.3621667,22.8756944,184553.582732321,2530660.12217679,高雄市田寮區崗山頭高139線(1公里處),啟用,1191,崇德橋,"Chongdeda Bridge",高雄市
田寮區,二仁溪流域,二仁溪,120.3963350,22.8880181,188065.19,2532010.03,高雄市田寮區月球路(台28線9公里處),啟用,1190,古亭橋,"Gootin Bridge",高雄市
永康區,鹽水溪流域,鹽水溪,120.2822019,23.0209389,176426.89,2546781.99,台南市永康區180線公路(8.5公里處),停用,1189,新灣橋,"Sinwun Bridge",臺南市
安南區,鹽水溪流域,鹽水溪,120.1924681,23.0197731,167228.21,2546700.77,台南市安南區文寶路台17甲公路,啟用,1188,鹽水溪橋,"Yanshuei River Bridge",臺南市
永康區,鹽水溪流域,鹽水溪,120.2155461,23.0249911,169596.90,2547265.76,台南市永康區台19線公路(138.5公里處),啟用,1187,溪頂寮大橋(原為太平橋),"Taiping Bridge",臺南市
新市區,鹽水溪流域,鹽水溪,120.2770993,23.0582166,175922.517319282,2550894.85742898,台南市新市區台1線公路(319公里處),啟用,1186,豐化橋,"Fonhua Bridge",臺南市
新化區,鹽水溪流域,鹽水溪,120.3582500,23.0723000,184246.87,2552433.47,台南市新化區那菝林台20線19公里處,啟用,1185,千鳥橋,"Chenniao Bridge",臺南市
左鎮區,鹽水溪流域,鹽水溪,120.3632056,23.0592164,184748.32,2550982.39,台南市左鎮區光山農路,啟用,1184,同心橋,"Tonsin Bridge",臺南市
山上區,曾文溪流域,菜寮溪,120.3698981,23.0970608,185452.18,2555170.26,台南市山上區山上里南184線,啟用,1183,玉峰大橋(取代舊橋),"Yufonda Bridge",臺南市
安南區,曾文溪流域,曾文溪,120.1348200,23.0858000,161362.23,2554046.49,台南市安南區台17線174.5公里處,啟用,1182,國姓橋(原為國聖橋),"Guoshen Bridge",臺南市
西港區,曾文溪流域,曾文溪,120.2049361,23.1087689,168559.81,2556549.29,台南市西港區台19線公路(129公里處),啟用,1181,西港大橋,"Sigangda Bridge",臺南市
麻豆區,曾文溪流域,曾文溪,120.2607289,23.1714611,174310.23,2563461.87,台南市麻豆區台19甲線18.5公里處,啟用,1180,麻善大橋,"Marsonda Bridge",臺南市
善化區,曾文溪流域,曾文溪,120.3380739,23.1555419,182221.39,2561660.87,台南市善化區台1線公路(306公里處),啟用,1179,曾文溪橋,"Zengwun River Bridge",臺南市
山上區,曾文溪流域,曾文溪,120.3644870,23.1031440,184900.79,2555846.32,台南市山上區新莊里178線27公里處,停用,1178,山上水源地,"Shanshang Water source",臺南市
大內區,曾文溪流域,曾文溪,120.3843880,23.1156619,186945.26,2557223.79,台南市大內區178線,啟用,1177,二溪大橋,"Erncida Bridge",臺南市
玉井區,曾文溪流域,曾文溪,120.4583131,23.1178810,194518.20,2557439.51,台南市玉井區台20線公路35公里處,啟用,1176,玉井橋,"Yujing Bridge",臺南市
楠西區,曾文溪流域,曾文溪,120.4880931,23.1923008,197597.40,2565669.61,台南市楠西區174線55公里處,啟用,1175,曾文一橋(原為曾文一號橋),"Zengwun no.1 Bridge",臺南市
將軍區,將軍溪流域,將軍溪,120.1050870,23.2210420,158407.91,2569042.16,台南市將軍區,停用,1174,引水口,Intake,臺南市
將軍區,將軍溪流域,將軍溪,120.1356410,23.2288870,161540.37,2569892.02,台南市將軍區台17線公路(158公里處),停用,1173,將軍溪橋,"Jiangjyun River Bridge",臺南市
學甲區,將軍溪流域,將軍溪,120.1739390,23.2254820,165457.89,2569492.13,台南市學甲區南19線公路(1公里處),停用,1172,華宗橋,"Huadzon Bridge",臺南市
佳里區,將軍溪流域,將軍溪,120.1878790,23.2030310,166870.73,2566997.78,台南市佳里區台19線公路(117公里處),停用,1171,新城橋,"Sincheng Bridge",臺南市
麻豆區,將軍溪流域,將軍溪,120.2067720,23.2081040,168807.78,2567548.90,台南市麻豆區縣171線公路(11.7公里處),停用,1170,文瑞橋,"Wenrei Bridge",臺南市
北門區,急水溪流域,急水溪,120.1443031,23.2915881,162467.85,2576830.59,台南市北門區南鯤鯓台17線公路(148.9公里處),啟用,1169,五王大橋(原為南鯤鯓),Nankunsan,臺南市
學甲區,急水溪流域,急水溪,120.2035556,23.2535278,168506.12,2572581.08,台南市學甲區台19線公路(110.9公里處),啟用,1168,宅港橋,"Jhaigon Bridge",臺南市
柳營區,急水溪流域,急水溪,120.3241400,23.2961150,180866.99,2577234.68,台南市柳營區台1線公路(291公里處),啟用,1167,台1線急水溪橋,"Jishueici Bridge",臺南市
白河區,急水溪流域,六重溪,120.4071881,23.3386939,189381.43,2581912.74,台南市白河區縣165線公路(15公里處),啟用,1166,青葉橋,"Chinyie Bridge",臺南市
白河區,急水溪流域,白水溪,120.4542358,23.3630089,194202.61,2584586.48,台南市白河區木屐寮南93線公路,啟用,1165,行甘橋（原為甘宅二號橋）,Mugiliao,臺南市
北門區,八掌溪流域,八掌溪,120.1527778,23.3127778,163348.53,2579172.16,台南市北門區台17線公路(279.1公里處),啟用,1164,嘉南大橋,"Chiananda Bridge",臺南市
鹽水區,八掌溪流域,八掌溪,120.2526111,23.3289722,173568.89,2580909.36,台南市鹽水區台19線公路(98公里處),啟用,1163,厚生橋,"Hocin Bridge",臺南市
水上鄉,八掌溪流域,八掌溪,120.3823056,23.4039167,186867.87,2589146.33,嘉義縣水上鄉台1線公路(274公里處),啟用,1162,八掌溪橋,"Bajhang River Bridge",嘉義縣
東區,八掌溪流域,八掌溪,120.4580556,23.4589167,194633.06,2595206.04,嘉義市東區吳鳳南路,啟用,1161,軍輝橋,"Jyunhui Bridge",嘉義市
中埔鄉,八掌溪流域,八掌溪,120.5507778,23.4512500,204103.38,2594324.4,嘉義縣中埔鄉阿里山公路(台18線公路14.8公里處),啟用,1160,五虎寮橋(取代舊橋),"Wuhuliao Bridge",嘉義縣
番路鄉,八掌溪流域,八掌溪,120.6059167,23.4388611,209733.18,2592935.94,嘉義縣番路鄉台18線公路(20公里處),啟用,1159,觸口橋,"Chuko Bridge",嘉義縣
東石鄉,朴子溪流域,朴子溪,120.1774289,23.4592450,165962.34,2595378.31,嘉義縣東石鄉嘉168線公路,啟用,1158,東石大橋,"Dongshihda Bridge",嘉義縣
朴子市,朴子溪流域,朴子溪,120.2450608,23.4756061,172881.72,2597152.37,嘉義縣朴子市台19線公路(80.5公里處),啟用,1157,朴子大橋（原為朴子溪橋）,"Puzih River Bridge",嘉義縣
六腳鄉,朴子溪流域,朴子溪,120.2932600,23.4820600,177809.04,2597842.09,嘉義縣六腳鄉嘉57線公路(5.5公里處),啟用,1156,介壽橋,"Jieshou Bridge",嘉義縣
新港鄉,朴子溪流域,朴子溪,120.3604161,23.5140911,184684.79,2601357.25,嘉義縣新港鄉縣159線公路(9.5公里處),啟用,1155,月眉潭橋,"Yuemeitan Bridge",嘉義縣
東區,朴子溪流域,朴子溪,120.4434031,23.5137639,193159.59,2601285.72,嘉義市東區忠孝路(台1線公路)與工業路交會,啟用,1154,牛稠溪橋,"Neochoci Bridge",嘉義市
竹崎鄉,朴子溪流域,朴子溪,120.5562131,23.5269311,204684.58,2602703.76,嘉義縣竹崎鄉竹崎親水公園上游(嘉120縣),啟用,1153,松竹大橋,"Songchiuda Bridge",嘉義縣
口湖鄉,北港溪流域,北港溪(雲),120.1779339,23.5137939,166048.48,2601419.18,雲林縣口湖鄉17號公路118km處,啟用,1152,雲嘉大橋,"Yunchiada Bridge",雲林縣
水林鄉,北港溪流域,北港溪(雲),120.2630030,23.5354420,174748.62,2603769.49,雲林縣水林鄉後寮村溪墘厝安和國小旁,停用,1151,後寮村,"Houliao Village",雲林縣
北港鎮,北港溪流域,北港溪(雲),120.3035833,23.5620278,178906.524650768,2606693.05260079,雲林縣北港鎮19號公路68km處(中央公路),啟用,1150,北港觀光大橋（原為觀光大橋）,"Beigangda Bridge",雲林縣
虎尾鎮,北港溪流域,虎尾溪,120.4186350,23.6814511,190705.62,2619866.30,雲林縣虎尾鎮延平里158甲公路22.5km處,啟用,1149,土庫大橋,"Tokooda Bridge",雲林縣
斗六市,北港溪流域,虎尾溪,120.5234350,23.7312150,201412.96,2625337.80,雲林縣斗六市大美村雲74公路9.5km處,啟用,1148,榮橋,"Rong Bridge",雲林縣
斗六市,北港溪流域,虎尾溪,120.5732700,23.7186030,206489.65,2623924.96,雲林縣斗六市3號公路258km處,啟用,1147,石榴班橋,"Shihliuban Bridge",雲林縣
斗六市,北港溪流域,北港溪(雲),120.5907711,23.7092200,208271.14,2622880.60,雲林縣梅南里南仁路173號旁,停用,1146,梅林橋,"Meilin Bridge",雲林縣
